2021-01-09 14:59:33 status unpacked libsepol1:amd64 2.8-1
2021-01-09 14:59:33 status half-configured libsepol1:amd64 2.8-1
2021-01-09 14:59:33 status installed libsepol1:amd64 2.8-1
2021-01-09 14:59:33 configure libattr1:amd64 1:2.4.48-4 <none>
2021-01-09 14:59:33 status unpacked libattr1:amd64 1:2.4.48-4
2021-01-09 14:59:33 status half-configured libattr1:amd64 1:2.4.48-4
2021-01-09 14:59:33 status installed libattr1:amd64 1:2.4.48-4
2021-01-09 14:59:33 configure libtasn1-6:amd64 4.13-3 <none>
2021-01-09 14:59:33 status unpacked libtasn1-6:amd64 4.13-3
2021-01-09 14:59:33 status half-configured libtasn1-6:amd64 4.13-3
2021-01-09 14:59:33 status installed libtasn1-6:amd64 4.13-3
2021-01-09 14:59:33 configure debianutils:amd64 4.8.6.1 <none>
2021-01-09 14:59:33 status unpacked debianutils:amd64 4.8.6.1
2021-01-09 14:59:33 status half-configured debianutils:amd64 4.8.6.1
2021-01-09 14:59:33 status installed debianutils:amd64 4.8.6.1
2021-01-09 14:59:33 configure mawk:amd64 1.3.3-17+b3 <none>
2021-01-09 14:59:33 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:33 status half-configured mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:33 status installed mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:33 configure libdebconfclient0:amd64 0.249 <none>
2021-01-09 14:59:33 status unpacked libdebconfclient0:amd64 0.249
2021-01-09 14:59:33 status half-configured libdebconfclient0:amd64 0.249
2021-01-09 14:59:33 status installed libdebconfclient0:amd64 0.249
2021-01-09 14:59:33 configure base-files:amd64 10.3+deb10u2 <none>
2021-01-09 14:59:33 status unpacked base-files:amd64 10.3+deb10u2
2021-01-09 14:59:33 status half-configured base-files:amd64 10.3+deb10u2
2021-01-09 14:59:33 status installed base-files:amd64 10.3+deb10u2
2021-01-09 14:59:33 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2021-01-09 14:59:33 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-01-09 14:59:33 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-01-09 14:59:33 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-01-09 14:59:33 configure base-passwd:amd64 3.5.46 <none>
2021-01-09 14:59:33 status unpacked base-passwd:amd64 3.5.46
2021-01-09 14:59:33 status half-configured base-passwd:amd64 3.5.46
2021-01-09 14:59:34 status installed base-passwd:amd64 3.5.46
2021-01-09 14:59:34 configure libdb5.3:amd64 5.3.28+dfsg1-0.5 <none>
2021-01-09 14:59:34 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-01-09 14:59:34 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.5
